make,basemodel,model,fuel_type
BMW,7 Series,740il,Regular
BMW,7 Series,740il/740il Protection,Premium
BMW,7 Series,740Ld xDrive,Diesel
BMW,7 Series,740Li,Premium
BMW,7 Series,740Li xDrive,Premium
BMW,7 Series,745e xDrive,Premium and Electricity
BMW,7 Series,745i,Premium
BMW,7 Series,745li,Premium
BMW,7 Series,750 Series,Regular
BMW,7 Series,750i,Premium
BMW,7 Series,750i xDrive,Premium
BMW,7 Series,750i xDrive Sedan,Premium
BMW,7 Series,750il,Premium
BMW,7 Series,750il,Regular
BMW,7 Series,750il/750il Protection,Premium
BMW,7 Series,750Li,Premium
BMW,7 Series,750Li xDrive,Premium
BMW,7 Series,760i,Premium
BMW,7 Series,760i xDrive Sedan,Premium
BMW,7 Series,760Li,Premium
BMW,7 Series,ActiveHybrid 7,Premium
BMW,7 Series,ActiveHybrid 7i,Premium
BMW,7 Series,ActiveHybrid 7L,Premium
BMW,7 Series,ActiveHybrid 7Li,Premium
BMW,7 Series,Alpina B7,Premium
BMW,7 Series,Alpina B7 LWB,Premium
